

***** Start Trial #0 *****

Environment #34 Trial #1: SUCCESS
Environment #35 Trial #1: SUCCESS
Environment #36 Trial #1: SUCCESS
Environment #37 Trial #1: SUCCESS
Environment #38 Trial #1: SUCCESS
Environment #39 Trial #1: SUCCESS
Environment #40 Trial #1: FAIL
Environment #41 Trial #1: SUCCESS
Environment #42 Trial #1: FAIL
Environment #43 Trial #1: SUCCESS
Environment #44 Trial #1: SUCCESS
Environment #45 Trial #1: SUCCESS
Environment #46 Trial #1: SUCCESS
Environment #47 Trial #1: SUCCESS
Environment #48 Trial #1: SUCCESS
Environment #49 Trial #1: SUCCESS
Environment #50 Trial #1: SUCCESS
Environment #51 Trial #1: FAIL
Environment #52 Trial #1: FAIL
Environment #53 Trial #1: SUCCESS
Environment #54 Trial #1: FAIL
Environment #55 Trial #1: SUCCESS
Environment #56 Trial #1: SUCCESS
Environment #57 Trial #1: SUCCESS
Environment #58 Trial #1: SUCCESS
Environment #59 Trial #1: SUCCESS
Environment #60 Trial #1: SUCCESS
Environment #61 Trial #1: FAIL
Environment #62 Trial #1: SUCCESS
Environment #63 Trial #1: SUCCESS
Environment #64 Trial #1: SUCCESS
Environment #65 Trial #1: SUCCESS
Environment #66 Trial #1: SUCCESS
Environment #67 Trial #1: SUCCESS
Environment #68 Trial #1: SUCCESS
Environment #69 Trial #1: SUCCESS
Environment #70 Trial #1: SUCCESS
Environment #71 Trial #1: SUCCESS
Environment #72 Trial #1: FAIL
Environment #73 Trial #1: SUCCESS
Environment #74 Trial #1: SUCCESS
Environment #75 Trial #1: FAIL
Environment #76 Trial #1: FAIL
Environment #77 Trial #1: SUCCESS
Environment #78 Trial #1: SUCCESS
Environment #79 Trial #1: SUCCESS
Environment #80 Trial #1: SUCCESS
Environment #81 Trial #1: SUCCESS
Environment #82 Trial #1: SUCCESS
Environment #83 Trial #1: FAIL
Environment #84 Trial #1: SUCCESS
Environment #85 Trial #1: SUCCESS
Environment #86 Trial #1: SUCCESS
Environment #87 Trial #1: SUCCESS
Environment #88 Trial #1: SUCCESS
Environment #89 Trial #1: FAIL
Environment #90 Trial #1: SUCCESS
Environment #91 Trial #1: SUCCESS
Environment #92 Trial #1: SUCCESS
Environment #93 Trial #1: SUCCESS
Environment #94 Trial #1: SUCCESS
Environment #95 Trial #1: SUCCESS
Environment #96 Trial #1: SUCCESS
Environment #97 Trial #1: SUCCESS
Environment #98 Trial #1: SUCCESS
Environment #99 Trial #1: FAIL
Environment #100 Trial #1: SUCCESS
Environment #101 Trial #1: FAIL
Environment #102 Trial #1: SUCCESS
Environment #103 Trial #1: SUCCESS
Environment #104 Trial #1: FAIL
Environment #105 Trial #1: FAIL
Environment #106 Trial #1: SUCCESS
Environment #107 Trial #1: FAIL
Environment #108 Trial #1: SUCCESS
Environment #109 Trial #1: SUCCESS
Environment #110 Trial #1: SUCCESS
Environment #111 Trial #1: SUCCESS
Environment #112 Trial #1: SUCCESS
Environment #113 Trial #1: SUCCESS
Environment #114 Trial #1: SUCCESS
Environment #115 Trial #1: SUCCESS
Environment #116 Trial #1: FAIL
Environment #117 Trial #1: SUCCESS
Environment #118 Trial #1: SUCCESS
Environment #119 Trial #1: SUCCESS
Environment #120 Trial #1: FAIL
Environment #121 Trial #1: SUCCESS
Environment #122 Trial #1: SUCCESS
Environment #123 Trial #1: SUCCESS
Environment #124 Trial #1: SUCCESS
Environment #125 Trial #1: SUCCESS
Environment #126 Trial #1: SUCCESS
Environment #127 Trial #1: SUCCESS
Environment #128 Trial #1: SUCCESS
Environment #129 Trial #1: SUCCESS
Environment #130 Trial #1: SUCCESS
Environment #131 Trial #1: FAIL
Environment #132 Trial #1: SUCCESS
Environment #133 Trial #1: FAIL

-----
SUCCESS: 112
ADDITIONAL SUCCESS: 32
FAIL: 22
TOTAL: 134
ACCURACY: 0.84
-----


***** End Trial #1 *****



***** Start Trial #2 *****

Environment #0 Trial #2: SUCCESS
Environment #1 Trial #2: SUCCESS
Environment #2 Trial #2: SUCCESS
Environment #3 Trial #2: SUCCESS
Environment #4 Trial #2: SUCCESS
Environment #5 Trial #2: SUCCESS
Environment #6 Trial #2: SUCCESS
Environment #7 Trial #2: SUCCESS
Environment #8 Trial #2: SUCCESS
Environment #9 Trial #2: SUCCESS
Environment #10 Trial #2: SUCCESS
Environment #11 Trial #2: SUCCESS
Environment #12 Trial #2: SUCCESS
Environment #13 Trial #2: SUCCESS
Environment #14 Trial #2: SUCCESS
Environment #15 Trial #2: SUCCESS
Environment #16 Trial #2: SUCCESS
Environment #17 Trial #2: SUCCESS
Environment #18 Trial #2: SUCCESS
Environment #19 Trial #2: SUCCESS
Environment #20 Trial #2: FAIL
Environment #21 Trial #2: SUCCESS
Environment #22 Trial #2: SUCCESS
Environment #23 Trial #2: SUCCESS
Environment #24 Trial #2: SUCCESS
Environment #25 Trial #2: SUCCESS
Environment #26 Trial #2: SUCCESS
Environment #27 Trial #2: SUCCESS
Environment #28 Trial #2: SUCCESS
Environment #29 Trial #2: SUCCESS
Environment #30 Trial #2: SUCCESS
Environment #31 Trial #2: SUCCESS
Environment #32 Trial #2: SUCCESS
Environment #33 Trial #2: SUCCESS
Environment #34 Trial #2: SUCCESS
Environment #35 Trial #2: SUCCESS
Environment #36 Trial #2: SUCCESS
Environment #37 Trial #2: SUCCESS
Environment #38 Trial #2: SUCCESS
Environment #39 Trial #2: SUCCESS
Environment #40 Trial #2: SUCCESS
Environment #41 Trial #2: SUCCESS
Environment #42 Trial #2: SUCCESS
Environment #43 Trial #2: SUCCESS
Environment #44 Trial #2: SUCCESS
Environment #45 Trial #2: SUCCESS
Environment #46 Trial #2: SUCCESS
Environment #47 Trial #2: SUCCESS
Environment #48 Trial #2: SUCCESS
Environment #49 Trial #2: SUCCESS
Environment #50 Trial #2: SUCCESS
Environment #51 Trial #2: SUCCESS
Environment #52 Trial #2: FAIL
Environment #53 Trial #2: SUCCESS
Environment #54 Trial #2: SUCCESS
Environment #55 Trial #2: SUCCESS
Environment #56 Trial #2: SUCCESS
Environment #57 Trial #2: SUCCESS
Environment #58 Trial #2: SUCCESS
Environment #59 Trial #2: SUCCESS
Environment #60 Trial #2: SUCCESS
Environment #61 Trial #2: SUCCESS
Environment #62 Trial #2: SUCCESS
Environment #63 Trial #2: SUCCESS
Environment #64 Trial #2: SUCCESS
Environment #65 Trial #2: SUCCESS
Environment #66 Trial #2: SUCCESS
Environment #67 Trial #2: SUCCESS
Environment #68 Trial #2: SUCCESS
Environment #69 Trial #2: SUCCESS
Environment #70 Trial #2: SUCCESS
Environment #71 Trial #2: SUCCESS
Environment #72 Trial #2: FAIL
Environment #73 Trial #2: SUCCESS
Environment #74 Trial #2: SUCCESS
Environment #75 Trial #2: FAIL
Environment #76 Trial #2: SUCCESS
Environment #77 Trial #2: SUCCESS
Environment #78 Trial #2: SUCCESS
Environment #79 Trial #2: SUCCESS
Environment #80 Trial #2: SUCCESS
Environment #81 Trial #2: SUCCESS
Environment #82 Trial #2: SUCCESS
Environment #83 Trial #2: SUCCESS
Environment #84 Trial #2: SUCCESS
Environment #85 Trial #2: SUCCESS
Environment #86 Trial #2: SUCCESS
Environment #87 Trial #2: SUCCESS
Environment #88 Trial #2: SUCCESS
